"","MalesPer100Females","AgeBelow35","Age35to65","Age65andAbove","White","Black","Asian","AmericanIndian","Hawaiian","Hispanic","HighSchool","Bachelors","Poverty","IncomeAbove75K","MedianIncome","AverageIncome","UnemployRate","ManfEmploy","SpeakingNonEnglish","Medicare","MedicareRate","SocialSecurity","SocialSecurityRate","RetiredWorkers","Disabilities","DisabilitiesRate","Homeowner","SameHouse1995and2000","Pop","PopDensity","LandArea","FarmArea","Obama_margin","Obama_margin_percent","Obama_wins"
"HighSchool",-0.0599101801906516,-0.0834531132953322,0.162742873594068,-0.0225554830669108,0.416474975338753,-0.446376668198291,0.233285199125378,-0.0500077998361086,0.0859336948685936,-0.0675503091199305,1,0.676283528858744,-0.758370208703563,0.52158371972845,0.627763994899798,0.556273254199049,-0.489475639752423,-0.290513191262149,-0.016382333036435,0.103061959126731,-0.151651346464335,0.112470370359458,-0.262516647178981,0.122307656246511,-0.0105136984668114,-0.751559418761557,-0.0840030280969717,-0.302823515313158,0.0975821568553045,0.0184324951279407,0.071192351512321,0.0707967157119544,0.0517537909486204,0.288599953694842,0.187263652240694
"Bachelors",-0.0934635857084362,0.174995757215756,0.100988414065865,-0.321505569171157,0.0284368153728821,-0.109358655350475,0.547648668983275,-0.0645289610171621,0.174303362497325,0.126908618255491,0.676283528858744,1,-0.474256574711363,0.779819917406626,0.699818780811443,0.756379324036216,-0.358471549097881,-0.262063657196776,0.269998442022881,0.299866548316527,-0.308264118946069,0.307799044661931,-0.504009738953333,0.31635377491202,0.165359379981742,-0.431913943702752,-0.402666024357064,-0.515779514253268,0.293839955686686,0.228735691926411,0.0142140705869416,-0.0396648701235612,0.0906729254503377,0.35558827586648,0.273994824818383
"Poverty",0.0243675611761046,0.222651572309595,-0.342772498570314,-0.0159758637808964,-0.576190364499886,0.562489021855734,-0.197120161607894,0.179191871364572,-0.0340250941776988,0.0735992043353815,-0.758370208703563,-0.474256574711363,1,-0.577413627548555,-0.761900976820777,-0.568048260148073,0.529945937488154,0.110905211091371,0.0530363276487837,-0.061182404100658,0.1313405943338,-0.0703251300054691,0.198628902238355,-0.0852580479631522,0.0501024738067404,0.851651462481584,-0.197073981396391,0.117240855878421,-0.0601169026331571,0.0324459738690462,0.0568638196633348,0.0574400976664965,0.0113020447042203,-0.108082539903633,-0.0874116732323552
"IncomeAbove75K",-0.0235720465205899,0.179005470125332,0.259799248648569,-0.458673479017305,-0.0191304362271818,-0.0600836732605821,0.585044549665957,-0.116557291918519,0.185154414962509,0.147300207998176,0.52158371972845,0.779819917406626,-0.577413627548555,1,0.935151100710206,0.785658763713952,-0.28624452793935,-0.16353183643692,0.281319759479093,0.343891991822733,-0.45727918724335,0.358632052622628,-0.601794235282198,0.368236100768588,0.184166105864694,-0.432187118389808,-0.135804011081616,-0.3707147959093,0.346153574728367,0.191848773089252,-0.0270513322979309,-0.144022816640995,0.0588131293637786,0.264383938115431,0.214980409071771
"MedianIncome",0.00790299613125074,0.0993674274735899,0.310055567005931,-0.392631931431532,0.173434815997865,-0.233357330314472,0.495156755595531,-0.130732524022801,0.153070545674495,0.0823365029601704,0.627763994899798,0.699818780811443,-0.761900976820777,0.935151100710206,1,0.753979738805159,-0.379744100147579,-0.148888583027176,0.193200035437718,0.257462215631641,-0.432415286852069,0.270903086929059,-0.563278106952353,0.281853289326004,0.113041014435045,-0.60867243186221,-0.00596115375876278,-0.297533738858717,0.265690243276383,0.130613527898838,-0.0294083221572442,-0.120449873022367,0.0378457630445634,0.228028136083549,0.192208514264879
"AverageIncome",-0.14736267735993,-0.0965856547484187,0.329412280379646,-0.143627704828733,0.0773194194583261,-0.133260668373947,0.51586854476266,-0.134342451710616,0.137126941845466,0.0741376406703495,0.556273254199049,0.756379324036216,-0.568048260148073,0.785658763713952,0.753979738805159,1,-0.329512338065568,-0.173570878390853,0.214144856581875,0.362176768782413,-0.202977162497102,0.370676667520495,-0.316059744678354,0.385480243826835,0.200534231786217,-0.401414095877461,-0.234563214909169,-0.247389690612853,0.333048752947038,0.320191789845149,-0.0574961436311373,-0.115269976404917,0.0609397465075931,0.22126619704861,0.165109992002241
"UnemployRate",0.00181028753086555,0.0538969003957717,-0.0846279565724976,-0.00249570763289129,-0.303263248960161,0.286619433563584,-0.08676347699895,0.0906405932771231,0.0305521257299569,0.0850692714225702,-0.489475639752423,-0.358471549097881,0.529945937488154,-0.28624452793935,-0.379744100147579,-0.329512338065568,1,0.184864887898582,0.0563206549937962,-0.0446099547002813,0.0982113199636348,-0.0469018942256597,0.170265368717643,-0.0550185696388273,0.0155431806861489,0.527461935150767,-0.0647147334406875,0.118685417875073,-0.0446469782626198,-0.0207741149515212,0.0481265743607597,-0.0471916499975994,-0.0159425544655485,-0.127567661119724,-0.0678528533811422
"ManfEmploy",-0.109045653822405,0.0321416072368171,-0.00381820759868556,-0.0402710890791585,-0.0292958402012156,0.0922811605075853,-0.124553057471336,-0.114801757050942,-0.0684233732370689,-0.144109971831324,-0.290513191262149,-0.262063657196776,0.110905211091371,-0.16353183643692,-0.148888583027176,-0.173570878390853,0.184864887898582,1,-0.187031296937718,-0.110427727040151,0.043192731168976,-0.113511314166564,0.0928617953028259,-0.116320747236609,-0.0713555439354611,0.143524912039182,0.108932993167702,0.189554353384616,-0.101501344458053,-0.0758307639609238,-0.200052652502009,-0.168627111425716,-0.0282600624640582,-0.131492605649014,-0.0204805960916077
"SpeakingNonEnglish",0.0738364229543245,0.285393705836092,-0.155678953315785,-0.257759903901634,-0.0716031074641226,-0.102872106028501,0.494057890733178,0.257106848144634,0.414400981261675,0.880113875879439,-0.016382333036435,0.269998442022881,0.0530363276487837,0.281319759479093,0.193200035437718,0.214144856581875,0.0563206549937962,-0.187031296937718,1,0.4062214961212,-0.259785842807937,0.404036703814602,-0.385654665945407,0.404931763119819,0.383305767151083,0.0203251837655979,-0.399194608527304,-0.266572722206218,0.408044854387003,0.292016810595215,0.388118513640101,0.365053395024386,-0.0539555537735055,-0.0111922854587749,-0.0938053149261523
"Medicare",-0.0840258010352586,0.096622623433281,-0.00432412996315967,-0.127881014793814,-0.121804509819003,0.0436220788063408,0.492869731137445,-0.0368844775477268,0.219727881011006,0.27618167472069,0.103061959126731,0.299866548316527,-0.061182404100658,0.343891991822733,0.257462215631641,0.362176768782413,-0.0446099547002813,-0.110427727040151,0.4062214961212,1,-0.145739111218316,0.997194480472749,-0.223433156602849,0.996000059954363,0.901189387045593,-0.0163183247513219,-0.326323003025344,-0.186821436832948,0.98278825628864,0.334579503062566,0.157657808600019,-0.0415177055067373,0.0125788765335985,-0.000557528069953536,-0.0544036161805291
"MedicareRate",-0.244834186373851,-0.589367016264519,-0.0127092283919624,0.808460204202507,0.174373178618525,-0.098194352932943,-0.242747917441024,-0.0493064784932345,-0.228101059153391,-0.218092685128523,-0.151651346464335,-0.308264118946069,0.1313405943338,-0.45727918724335,-0.432415286852069,-0.202977162497102,0.0982113199636348,0.043192731168976,-0.259785842807937,-0.145739111218316,1,-0.160771200893249,0.821927924921402,-0.154232336067661,-0.125819096292241,0.191969610500422,0.119375196912298,0.359277684603743,-0.190579033037952,-0.0638819504215374,-0.0930010591599587,0.0324637666373265,-0.058129848395996,-0.213907488713736,-0.207353022498277
"SocialSecurity",-0.0859490839514422,0.10210911785044,-0.00252336185605661,-0.136815567730617,-0.120719926622373,0.0426839815896608,0.486975731147748,-0.0377750721780892,0.224819022625601,0.277145730127754,0.112470370359458,0.307799044661931,-0.0703251300054691,0.358632052622628,0.270903086929059,0.370676667520495,-0.0469018942256597,-0.113511314166564,0.404036703814602,0.997194480472749,-0.160771200893249,1,-0.229263419931273,0.998508683812989,0.877111673986169,-0.0241426895119802,-0.31815716347365,-0.198239134469654,0.977500521514279,0.319261813557914,0.168190197357272,-0.0431848903153072,0.0300025145510781,-0.00179100611122383,-0.0558112743873507
"SocialSecurityRate",-0.232208978774344,-0.73409998743941,0.128272911967006,0.887588103356057,0.216349775377181,-0.114428037414463,-0.409749263893098,-0.0396361924043333,-0.303818647522192,-0.306019054739694,-0.262516647178981,-0.504009738953333,0.198628902238355,-0.601794235282198,-0.563278106952353,-0.316059744678354,0.170265368717643,0.0928617953028259,-0.385654665945407,-0.223433156602849,0.821927924921402,-0.229263419931273,1,-0.223084701262043,-0.185114886216981,0.282348157103948,0.360680461915083,0.518981767705571,-0.264390556254325,-0.158903383988396,-0.0920788042460932,-0.0131660951962345,-0.0764614162776996,-0.340683163932553,-0.278930364571692
"RetiredWorkers",-0.0837578824604053,0.0888671987618499,0.00262375859748316,-0.123133699018642,-0.110482735557198,0.0321847118476553,0.493831873222931,-0.0395484118127709,0.222803056538409,0.275896071730603,0.122307656246511,0.31635377491202,-0.0852580479631522,0.368236100768588,0.281853289326004,0.385480243826835,-0.0550185696388273,-0.116320747236609,0.404931763119819,0.996000059954363,-0.154232336067661,0.998508683812989,-0.223084701262043,1,0.866021183202052,-0.0374810762245567,-0.308163197797705,-0.197206462608561,0.972903942803336,0.321373676929628,0.162497416800777,-0.0455493912531508,0.021096298325286,-0.00322665599999627,-0.0568954731447012
"Disabilities",-0.0567975904767436,0.110580721956815,-0.0305093938161812,-0.12503464988695,-0.138193143103932,0.0717052265458599,0.40922072110888,-0.014066081388458,0.183805135646696,0.2720231457934,-0.0105136984668114,0.165359379981742,0.0501024738067404,0.184166105864694,0.113041014435045,0.200534231786217,0.0155431806861489,-0.0713555439354611,0.383305767151083,0.901189387045593,-0.125819096292241,0.877111673986169,-0.185114886216981,0.866021183202052,1,0.086231717259278,-0.339226960966783,-0.110586543667476,0.928045015010291,0.397805709243599,0.137381953997489,-0.00494419387187281,-0.0701040460717761,-0.00689629727230412,-0.0495491907475252
"DisabilitiesRate",-0.131477427565062,0.0733707037347758,-0.129659808407598,0.00880194853062988,-0.572867947569521,0.569016438133705,-0.092948193209517,0.0893643858868111,-0.0574802751513086,0.0146740607983091,-0.751559418761557,-0.431913943702752,0.851651462481584,-0.432187118389808,-0.60867243186221,-0.401414095877461,0.527461935150767,0.143524912039182,0.0203251837655979,-0.0163183247513219,0.191969610500422,-0.0241426895119802,0.282348157103948,-0.0374810762245567,0.086231717259278,1,-0.125071965874562,0.241920508557648,-0.0208342584907995,0.0652495916350527,-0.018277531955273,-0.0484372164728714,-0.0176325647483631,-0.126893733062605,-0.0794603703045475
"Homeowner",0.0538538217768036,-0.427993421329678,0.350202087744318,0.289491171540191,0.279798602316731,-0.197703990323981,-0.440159134992557,-0.000699319317248849,-0.313053065330848,-0.306133395022127,-0.0840030280969717,-0.402666024357064,-0.197073981396391,-0.135804011081616,-0.00596115375876278,-0.234563214909169,-0.0647147334406875,0.108932993167702,-0.399194608527304,-0.326323003025344,0.119375196912298,-0.31815716347365,0.360680461915083,-0.308163197797705,-0.339226960966783,-0.125071965874562,1,0.533694928835655,-0.318641252231076,-0.426832790858021,-0.0733140770019334,-0.103283568729868,-0.0490583577309121,-0.157923423689814,-0.076822567142701
"SameHouse1995and2000",-0.172505737857575,-0.525990642100371,0.309124943112933,0.455169997131193,0.000132299268853396,0.089830048901762,-0.318545488776037,0.0148132091313888,-0.359919647313568,-0.29519961306864,-0.302823515313158,-0.515779514253268,0.117240855878421,-0.3707147959093,-0.297533738858717,-0.247389690612853,0.118685417875073,0.189554353384616,-0.266572722206218,-0.186821436832948,0.359277684603743,-0.198239134469654,0.518981767705571,-0.197206462608561,-0.110586543667476,0.241920508557648,0.533694928835655,1,-0.195135595257714,-0.0723331144138972,-0.160331177274208,-0.0329074058639398,-0.0348158622804589,-0.106744371067013,-0.0634134498895665
"Pop",-0.0598682405184381,0.137011243913928,-0.00982176835606812,-0.17797851850934,-0.123460962834572,0.0423242442371757,0.503035379905858,-0.0304497440318781,0.238921418431292,0.287108351219445,0.0975821568553045,0.293839955686686,-0.0601169026331571,0.346153574728367,0.265690243276383,0.333048752947038,-0.0446469782626198,-0.101501344458053,0.408044854387003,0.98278825628864,-0.190579033037952,0.977500521514279,-0.264390556254325,0.972903942803336,0.928045015010291,-0.0208342584907995,-0.318641252231076,-0.195135595257714,1,0.313594100957797,0.168531261688106,-0.031356763781843,-0.00347961318695875,0.0185683791860491,-0.0333795039270195
"PopDensity",-0.0735174169169374,0.0637757194200642,0.00226960424170848,-0.088976153493096,-0.147838470586818,0.0949230104131953,0.37377176301014,-0.0293036240269559,0.08268812581755,0.147139000835983,0.0184324951279407,0.228735691926411,0.0324459738690462,0.191848773089252,0.130613527898838,0.320191789845149,-0.0207741149515212,-0.0758307639609238,0.292016810595215,0.334579503062566,-0.0638819504215374,0.319261813557914,-0.158903383988396,0.321373676929628,0.397805709243599,0.0652495916350527,-0.426832790858021,-0.0723331144138972,0.313594100957797,1,-0.0663671563398929,-0.0235734199090579,0.0375694032267437,0.00950409277512202,-0.00782429402984719
"LandArea",0.0994545782352724,0.0929441610110959,-0.0867904650007273,-0.0538551163746761,0.0610859179882549,-0.184073657384824,0.0237619573678171,0.347149298721153,0.187688042370989,0.385614879790453,0.071192351512321,0.0142140705869416,0.0568638196633348,-0.0270513322979309,-0.0294083221572442,-0.0574961436311373,0.0481265743607597,-0.200052652502009,0.388118513640101,0.157657808600019,-0.0930010591599587,0.168190197357272,-0.0920788042460932,0.162497416800777,0.137381953997489,-0.018277531955273,-0.0733140770019334,-0.160331177274208,0.168531261688106,-0.0663671563398929,1,0.505149188927994,-0.0836799419917373,0.000512787431005594,-0.0362081869057491
"FarmArea",0.0298936773137059,0.0481365440046223,-0.173059205050693,0.0785513798478127,0.136478136865835,-0.238248326481361,-0.0273207862527203,0.33732769005894,0.111146367400579,0.405446888994319,0.0707967157119544,-0.0396648701235612,0.0574400976664965,-0.144022816640995,-0.120449873022367,-0.115269976404917,-0.0471916499975994,-0.168627111425716,0.365053395024386,-0.0415177055067373,0.0324637666373265,-0.0431848903153072,-0.0131660951962345,-0.0455493912531508,-0.00494419387187281,-0.0484372164728714,-0.103283568729868,-0.0329074058639398,-0.031356763781843,-0.0235734199090579,0.505149188927994,1,-0.0454339877592055,-0.0589291604625588,-0.119390945283677
"Obama_margin",-0.0245402830757572,0.0479124291192673,0.00986102861405363,-0.0736916457639563,-0.120859455627686,0.133539683769077,-0.0141137598212625,-0.0212157693064099,-0.0353237411845251,-0.0687783095460376,0.0517537909486204,0.0906729254503377,0.0113020447042203,0.0588131293637786,0.0378457630445634,0.0609397465075931,-0.0159425544655485,-0.0282600624640582,-0.0539555537735055,0.0125788765335985,-0.058129848395996,0.0300025145510781,-0.0764614162776996,0.021096298325286,-0.0701040460717761,-0.0176325647483631,-0.0490583577309121,-0.0348158622804589,-0.00347961318695875,0.0375694032267437,-0.0836799419917373,-0.0454339877592055,1,0.221392220305147,0.205575732047037
"Obama_margin_percent",-0.00302070208860415,0.186994578751139,-0.0271666616597807,-0.231216511631353,-0.40976399820493,0.444844298855701,0.0911386333908669,-0.0990806504575507,0.0194001367710336,-0.0456014319567479,0.288599953694842,0.35558827586648,-0.108082539903633,0.264383938115431,0.228028136083549,0.22126619704861,-0.127567661119724,-0.131492605649014,-0.0111922854587749,-0.000557528069953536,-0.213907488713736,-0.00179100611122383,-0.340683163932553,-0.00322665599999627,-0.00689629727230412,-0.126893733062605,-0.157923423689814,-0.106744371067013,0.0185683791860491,0.00950409277512202,0.000512787431005594,-0.0589291604625588,0.221392220305147,1,0.805884724666103
"Obama_wins",-0.00924357145529655,0.1812020154356,-0.012512763679194,-0.235642585838755,-0.301770347845466,0.338162434218398,0.0470928567538267,-0.105258819711794,-0.0153469177718924,-0.116677078460226,0.187263652240694,0.273994824818383,-0.0874116732323552,0.214980409071771,0.192208514264879,0.165109992002241,-0.0678528533811422,-0.0204805960916077,-0.0938053149261523,-0.0544036161805291,-0.207353022498277,-0.0558112743873507,-0.278930364571692,-0.0568954731447012,-0.0495491907475252,-0.0794603703045475,-0.076822567142701,-0.0634134498895665,-0.0333795039270195,-0.00782429402984719,-0.0362081869057491,-0.119390945283677,0.205575732047037,0.805884724666103,1
